QC_CAUSE
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,8773;0,03398;0,7378;0,02744;NN
6666,67%%;0,8881;0,0326;0,7511;0,04257;NN
7500,00%%;0,8785;0,03279;0,7637;0,05599;NN
8000,00%%;0,8855;0,02924;0,7439;0,04434;NN
8333,33%%;0,8792;0,05104;0,7032;0,08095;NN
8571,43%%;0,8951;0,04225;0,7162;0,08859;NN
8750,00%%;0,873;0,06158;0,7378;0,08442;NN
8888,89%%;0,8555;0,0691;0,7243;0,1189;NN
9000,00%%;0,866;0,08964;0,7097;0,09563;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
