QC_DEF
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
0,5%;0,9137;0,03546;0,7726;0,03558;NN
0,67%;0,9086;0,03887;0,7635;0,04361;NN
0,75%;0,9103;0,03956;0,7597;0,04502;NN
0,8%;0,9137;0,04239;0,7655;0,04939;NN
0,83%;0,9187;0,03866;0,8118;0,05673;NN
0,86%;0,9281;0,0393;0,7529;0,05152;NN
0,88%;0,922;0,04983;0,7576;0,0666;NN
0,89%;0,9173;0,05436;0,7445;0,08242;NN
0,9%;0,9109;0,05501;0,7283;0,08451;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
