QC_LOC
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,9054;0,02099;0,8865;0,02056;NN
6666,67%%;0,9105;0,02861;0,8938;0,01953;NN
7500,00%%;0,9034;0,04156;0,8942;0,05419;-
8000,00%%;0,8995;0,05084;0,8858;0,04547;-
8333,33%%;0,9202;0,03876;0,8864;0,05249;NN
8571,43%%;0,9332;0,04099;0,894;0,04395;NN
8750,00%%;0,9045;0,04187;0,8924;0,04966;-
8888,89%%;0,8995;0,05176;0,8936;0,04506;-
9000,00%%;0,933;0,05031;0,8822;0,07028;NN

Liczba „zwycięstw” sieci;5
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;4
