QC_NONPER
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
0,5%;0,9244;0,02295;0,7152;0,01127;NN
0,67%;0,9173;0,02368;0,7183;0,02062;NN
0,75%;0,9167;0,02942;0,7291;0,02684;NN
0,8%;0,9307;0,02777;0,7244;0,02479;NN
0,83%;0,9204;0,0259;0,7163;0,03732;NN
0,86%;0,9227;0,03106;0,7139;0,02931;NN
0,88%;0,9198;0,04606;0,72;0,03494;NN
0,89%;0,9283;0,04995;0,716;0,04854;NN
0,9%;0,9082;0,05141;0,6961;0,04173;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
