QC_PER
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,8841;0,06775;0,7352;0,03333;NN
6666,67%%;0,8833;0,04772;0,7327;0,03391;NN
7500,00%%;0,8873;0,0666;0,7323;0,04292;NN
8000,00%%;0,8904;0,08042;0,7255;0,0415;NN
8333,33%%;0,8955;0,05602;0,772;0,0462;NN
8571,43%%;0,9067;0,06518;0,7369;0,06124;NN
8750,00%%;0,8825;0,09894;0,7183;0,0647;NN
8888,89%%;0,8862;0,09904;0,729;0,07497;NN
9000,00%%;0,8849;0,08363;0,7311;0,05296;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
