QC_PROCEDURE
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
0,5%;0,8634;0,06406;0,8752;0,02535;-
0,67%;0,8695;0,06635;0,872;0,02897;-
0,75%;0,8841;0,03136;0,8657;0,03556;NN
0,8%;0,8778;0,03205;0,8656;0,03108;-
0,83%;0,8843;0,05094;0,8735;0,0479;-
0,86%;0,8979;0,03862;0,8731;0,03906;NN
0,88%;0,8949;0,04683;0,8705;0,04572;NN
0,89%;0,842;0,09035;0,8269;0,06774;-
0,9%;0,87;0,05576;0,8509;0,06244;NN

Liczba „zwycięstw” sieci;4
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;5
