QC_QUANTITY
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
0,5%;0,9187;0,05835;0,942;0,01799;-
0,67%;0,9248;0,0346;0,9373;0,0193;-
0,75%;0,9356;0,02885;0,9379;0,03073;-
0,8%;0,9279;0,0343;0,9345;0,03375;-
0,83%;0,9384;0,08272;0,9433;0,0393;-
0,86%;0,944;0,03944;0,9546;0,03066;-
0,88%;0,9251;0,04776;0,9533;0,03783;B
0,89%;0,9168;0,06625;0,9204;0,04578;-
0,9%;0,9182;0,07452;0,9293;0,04806;-

Liczba „zwycięstw” sieci;0
Liczba „zwycięstw” bazy;1
Liczba porównań nieokreślonych;8
