QC_TEMP
Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,7604;0,0547;0,8009;0,03495;B
6666,67%%;0,7859;0,05119;0,8033;0,03916;B
7500,00%%;0,8046;0,04956;0,8085;0,05895;-
8000,00%%;0,7663;0,0674;0,7938;0,08206;B
8333,33%%;0,787;0,06721;0,7881;0,09016;-
8571,43%%;0,7922;0,09475;0,8298;0,0699;B
8750,00%%;0,771;0,09667;0,8021;0,115;B
8888,89%%;0,7438;0,1113;0,7675;0,1167;-
9000,00%%;0,7399;0,07505;0,766;0,1025;-

Liczba „zwycięstw” sieci;0
Liczba „zwycięstw” bazy;5
Liczba porównań nieokreślonych;4
