Rozmiar zbioru treningowego;F-miara sieci;Odchylenie;F-miara bazy;Odchylenie;Statystycznie lepszy
5000,00%%;0,8688;0,01818;0,7909;0,01033;NN
6666,67%%;0,8723;0,01588;0,7912;0,01103;NN
7500,00%%;0,8807;0,01727;0,7928;0,01951;NN
8000,00%%;0,8751;0,02065;0,792;0,01767;NN
8333,33%%;0,8786;0,01471;0,7928;0,02308;NN
8571,43%%;0,8882;0,02488;0,7946;0,02118;NN
8750,00%%;0,873;0,02347;0,7858;0,02279;NN
8888,89%%;0,8663;0,02903;0,7779;0,03667;NN
9000,00%%;0,8769;0,02207;0,7725;0,0261;NN

Liczba „zwycięstw” sieci;9
Liczba „zwycięstw” bazy;0
Liczba porównań nieokreślonych;0
