BOOLEAN;if-if;;;;;pytanie typu czy-czy
BOOLEAN;yes-no;;;;;pytanie typu tak-nie
DESCRIPTION;definition;;;;;pytanie o wyjaśnienie, zdefiniowanie wyrazu, terminu, skrótu lub symbolu, pytanie o rozwinięcie skrótu, skrótowca (odpowiedzią będzie pełna nazwa, która uległa skróceniu), pytanie o tłumaczenie na język polski (odpowiedzią jest odpowiednik słowa, wyrażenia obcojęzycznego w języku polskim)
DESCRIPTION;description;;;;;pytanie o opis, pytanie o większą ilości informacji, pytanie o szczegóły, uszczegółowienie, o dokładniejszy opis
DESCRIPTION;description-other;;;;;pytanie o opisy inne niż wyszczegółowione w ramach etykiety DESCRIPTION
DESCRIPTION;expression;;;;znak językowy 1;"pytanie o słowo, wyrażenie, skrót lub symbol (musi jawnie dotyczyć wyrażenia językowego), pytania o tłumaczenie z polskiego na inny język (odpowiedzią jest słowo bądź wyrażenie), pytania typu: ""Jaki jest skrót (...)?"", ""Podaj rzeczownik na 4 litery, zaczynający się od P?"", ""Jaki symol ma argon?"", UWAGA: jeśli pasuje do innej klasy, to należy ją wybrać (np. ""Jak nazywa się odpowiednik Polopiryny?"" to pytanie typu artifact)"
DESCRIPTION;manner;;;;sposób 2;pytanie o sposób, procedurę uzyskania czegoś, przepis(np. Przepis a ciasto) 
DESCRIPTION;reason;;;;;pytanie o przyczynę, motywacje
ENTITY;animal;;zw;animal_nam;zwierzę 1, człowiek o płci męskiej 1, człowiek o płci żeńskiej 1;pytania o zwierzęta
ENTITY;artifact;;;brand_nam [częściowo];przedmiot 1, lekarstwo 1;"pytanie o narzędzia i urządzenia, przedmioty fizyczne służące jakiemuś celowi, także wszelkie inne rzeczy wytworzone (w tym marki i nazwy produktów, leków, np. IPhone - o ile nie podpada pod inną kategorię, np. marki samochodów to ""vehicle"")"
ENTITY;Body-part;;czc;;część ciała 1, element anatomiczny 1;pytanie o części ciała
ENTITY;building;;;facility_nam;obiekt budowlany 1;pytanie o budynki i obiekty budowlane
ENTITY;color;;;;kolor 1;pytanie o kolory
ENTITY;currency;;il;currency_nam;jednostka monetarna 2;pytanie o waluty, jednostki monetarne
ENTITY;dis-med;;;;zaburzenie 2;"pytanie o choroby, nazwy objawów, leczenie, nazwy terapii, itp. (ale już nie nazwy leków, nie dawkowanie - to kategoria ""manner"")"
ENTITY;entity-other;;;[dużo];obiekt fizykalny, którego części są połączone bezpośrednio 1;pytanie o pozostałe, niewyposzczególnieone w innych klasach ENTITY byty fizyczne lub abstrakcyjne, ale nieosobowe (osobowe należą do etykiety HUMAN)
ENTITY;event;;;event_nam;wydarzenie 1, rozgrywka 1;pytanie o wydarzenia społeczne, kulturalne, historyczne (np. wojny), sportowe, wydarzenia dnia codziennego
ENTITY;food;;jedz;brand_nam [częściowo];produkt spożywczy 1;pytanie o jedzenie, posiłki, produkty spożywcze
ENTITY;ideology;;;;teoria 4, pogląd 1, technologia 1, dziedzina 1, nauka 1, zasada 4, prawo 3, model 1;pytanie o ideologie, teorie naukowe, prawa, technologie, religie, wierzenia, zabobony, wszelakie systemy myślowe
ENTITY;intellect-other;document;;document_nam;akt 1, orzeczenie 1, postanowienie 2;pytanie o dokumenty, akty, orzeczenia, postanowienia, inne pisma
ENTITY;intellect-other;licence;;licence_nam;licencja 2;pytanie o licencje, uprawnienia
ENTITY;intellect-other;software;;software_nam;program 1 program komputerowy 1, oprogramowanie 1, software 1;pytanie o programy, pakiety oporogramowania (w tym gry i systemy operacyjne)
ENTITY;intellect-other;title;;title_nam;utwór 1, dzieło 1;pytanie o tytuły utworów i dzieł
ENTITY;intellect-other;treaty;;treaty_nam;umowa 1, porozumienie 1;pytanie o traktaty, umowy, porozumienia
ENTITY;intellect-other;web-page;;web_nam;strona 7, strona internetowa 1, strona WWW 1, witryna 1;pytanie o adresy stron internetowych
ENTITY;intellect-other;www-address;;www_nam;domena 3, adres internetowy 1, adres 1;pytanie o domeny, adresy mailowe, serwisy internetowe
ENTITY;language;;;;język 1;"pytanie o język i pojęcia językoznawcze (nazwy części mowy, konstrukcji językowych, itp.), np. ""Jaką część mowy ma słowo ""wąglik""?"", ""Jakim językiem mówi się w Urugwaju?"" (nie należą tu pytania o języki programowania ani pytania o synonimy słów, tłumaczenia, itp.)"
ENTITY;natural-phenomenon;;;;skała 2, osad 1, głaz 1, teren 1, przedmiot naturalny 1, zjawisko naturalne 1, kropla 4, płat 2, obiekt astronomiczny 1, obiekt geograficzny 1;pytanie o przedmioty typu: kamień, patyk, kropla wody, deszcz, burza, zjawiska naturalne, itp.
ENTITY;plant;;rsl;plant_nam;roślina 1, organ rośliny 1;pytanie o rośliny
ENTITY;substance;;sbst;brand_nam [częściowo];substancja 1;pytanie o substancje
ENTITY;system;;;system_nam;system operacyjny 1, struktura ,2 system 7, układ 1;pytanie o nazwy konkretnych instancji fizycznych systemów posiadających własną infrastrukturę i realizujących określone cele (np. systemy informatyczne, ostrzegawcze, EPI, ECURIE, itp.)
ENTITY;vehicle;;;brand_nam, vehicle_nam;pojazd 2;pytanie o nazwy pojazdów (w tym marki aut)
HUMAN;group;;;nation_nam;grupa ludzi 1;"pytanie o grupę ludzi, grono, społeczność (np. ""Kto pracuje w Samsungu?"")"
